Page,"Disc Title","MPEG-H HEVC Video","* MPEG-H HEVC Video","Dolby TrueHD/Atmos Audio"
157,Reminiscence.2021.UHD.BluRay.2160p.HEVC.Atmos.TrueHD7.1,52299,69,3510
157,"The Seventh Seal 1957",79629,64,
157,"Mulholland Dr 2001",70360,7538,
157,"Yakuza Princess 2021",71999,8078,5503
157,"Maniac Cop 2 1990",74810,4930,4923
158,"Maniac Cop 3 Badge of Silence 1992",71998,5821,4680
158,"Invasion of the Body Snatchers 1978",75966,10949,
158,"Uncut Gems 2019",76906,7332,4718
158,"Hitmans Wifes Bodyguard 2021 EXTENDED",74216,107,3862
158,"Citizen Kane 1941",78359,7462,
158,"The Addams Family 1991 EXTENDED",61383,7547,
158,"Dune 2021 ",59682,69,3691
158,"The Running Man 1987",73096,87,
158,"A River Runs Through It 1992",84752,105,
158,"The Karate Kid Part II 1986",53250,2098,5278
158,"The Karate Kid Part III 1989 ",57150,2097,4921
158,"The Karate Kid 1984",64326,2090,5009
158,"Tinker Tailor Soldier Spy 2011",77113,76,
158,"Krampus 2015 The Naughty Cut",76131,13334,4034
159,"Hard Target 1993",74538,10765,
159,"Venom Let There Be Carnage 2021",55873,2104,4931
159,"The Wolf of Wall Street 2013",51584,5801,
159,"No Time to Die 2021",50871,5717,3505
159,"Drive 2011",57981,14539,
159,"The Red Shoes 1948",77064,7415,
160,"Aus der Mitte entspringt ein Fluss",84752,105,
160,"The Captain 2017",47856,8018,
160,"The Toolbox Murders 1978",71987,4252,4203
160,"Last Night in Soho 2021",52486,5933,3202
161,"A Hard Days Night 1964",73467,7589,
161,"Crank Extended Cut 2006",59977,15037,
161,"The Howling 1981",73782,3421,
161,"The 400 Blows 1959",62998,7035,
161,"The Double Life of Veronique 1991",52198,5880,
161,"Stolen Kisses 1968",71986,911,
161,"Love on the Run 1979",62997,1572,
161,"Bed and Board 1970",62997,1308,
161,"The Piano 1993",76388,7455,
161,"An American Werewolf in Paris 1997",69547,67,
161,"Ghostbusters Afterlife 2021",47207,2104,4621
162,"Infinite 2021",49437,6967,4722
162,"Resident Evil Welcome to Raccoon City 2021",50620,2101,5127
162,"Some Like It Hot 1959",85259,6735,
162,"The Hurt Locker 2008",66891,7453,4375
162,"Escape from L.A. 1996",59999,15076,
163,"Looper - 4K Ultra HD",52708,2100,4587
163,"Downton Abbey 2019",64930,5075,4204
163,"The Matrix Resurrections 2021",60809,70,3588
163,"Touch of Evil 1958 Theatrical",85401,9300,
163,"Touch of Evil 1958 RECONSTRUCTED",71999,8041,
163,"The Sword and the Sorcerer 1982",71983,3944,
164,"The Godfather 1972",53274,5994,
164,"Phenomena 1985 Integral Cut",88485,76,
164,"Eastern Promises 2007",76498,8315,
164,"The Texas Chain Saw Massacre 1974",69820,68,5022
165,"Scream 2022",51725,3942,
166,"RoboCop 1987 DC",78815,64,5199
166,"Spider-Man No Way Home 2021",52236,2107,4694
167,"Moonfall 2022",61517,7564,5344
167,"The Man Who Shot Liberty Valance (1962)",45999,11579,
167,"The Batman (2022)",51013,2096,3476
168,"The Untouchables (1987)",46146,3733,4979
168,"Double Indemnity (1944)",67193,6335,
168,"The Northman 2022",55870,6263,5295
168,"Morbius 2022",51812,2105,5336
168,"Fantastic Beasts The Secrets of Dumbledore (2022)",54377,2101,3190
169,"The Lost City 2022",45153,4099,4537
169,"The Killing 1956",76497,2775,
169,"Eternal Sunshine of the Spotless Mind 2004",76498,8541,
170,"Sonic the Hedgehog 2 2022",41781,3864,5513
170,"Event Horizon 1997",60799,15274,
170,"Jurassic World Dominion 2022 Theatrical",46787,5675,
170,"Red Dawn 1984",76498,3218,
170,"Paths of Glory 1957",76490,4091,
170,"Minions The Rise of Gru 2022",75497,8496,3693
170,"Platoon 1986",76499,8538,
171,"The War of the Worlds 1953",63185,15829,
171,"Bullet Train 2022",66776,2110,4483
171,"The Usual Suspects 1995",76499,7525,
171,"From Here to Eternity 1953",55087,2100,3802
171,"It Happened One Night 1934",84445,2099,
171,"The Last Picture Show 1971 Director's Cut",53139,2099,
171,"As Good as It Gets 1997",58600,2100,4886
171,"To Sir with Love 1967",55244,2098,3843
171,"Annie 1982",66007,2102,4597
172,"Escape from Alcatraz 1979",70000,18037,
172,"Reservoir Dogs 1992",65790,7068,
172,"High Plains Drifter 1973",69924,18038,
172,"Planes Trains And Automobiles 1987",66526,3935,
172,"WALL-E 2008 CRITERION",39946,7578,4697
172,"Pulp Fiction 1994",63263,3847,
173,"Marcel the Shell with Shoes On 2021",65929,7111,3850
173,"Coraline 2009",76794,8564,4603
173,"Lyle, Lyle, Crocodile 2022",54602,2100,4741
173,"ParaNorman 2012",79742,8780,4582
173,"The Taking of Pelham One Two Three 1974",69999,18031,
173,DISC1,51600,72,3189
173,"Black Adam 2022",44268,2115,3929
173,"Groundhog Day 1993 30th Anniversary Edition",78489,2098,5066
174,"The Italian Job 1969",69860,18000,
174,"The Magnificent Seven 1960",76493,8513,
174,"Dazed and Confused 1993",65793,6428,
